Comments,Epigenome ID (EID),ORDER,GROUP,COLOR,Epigenome Mnemonic,Under Seq,Quality Rating,Auto Use Train (Core),Manual Use Train (Core),Has K27ac,Train Core + K27ac,Core + Ac + DNase + 9 Class1 Marks,Core + Ac + DNase + 13 Class1 Marks,Standardized Epigenome name,Epigenome name (from EDACC Release 9 directory),ANATOMY,TYPE,"LAB
(Based on 5 core histone marks only)","AGE
(Post Birth in YEARS/ Fetal in GESTATIONAL WEEKS/CELL LINE CL) ","SEX
(Male, Female, Mixed, Unknown)",SOLID / LIQUID,ETHNICITY,Single Donor (SD) /Composite (C),DONOR / SAMPLE ALIAS,CLASS,,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,,Nreads (36bp) 30M,Nreads (36bp) 30M,Nreads (36bp) 30M,Nreads (36bp) 30M,Nreads (36bp) 30M,Nreads (36bp) 30M,Nreads (36bp) 30M,Nreads (36bp) 30M,Nreads (36bp) 50M,,NSC (Signal to noise),NSC (Signal to noise),NSC (Signal to noise),NSC (Signal to noise),NSC (Signal to noise),NSC (Signal to noise),NSC (Signal to noise),NSC (Signal to noise),NSC (Signal to noise),,RSC (Phantom Peak),RSC (Phantom Peak),RSC (Phantom Peak),RSC (Phantom Peak),RSC (Phantom Peak),RSC (Phantom Peak),RSC (Phantom Peak),RSC (Phantom Peak),RSC (Phantom Peak),,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames
,,,,,,,Core Marks,,,,,,,,,,,,,33,64,,43,,(Check this),,Input,H3K9me3,H3K27me3,H3K4me3,H3K4me1,H3K36me3,H3K27ac,H3K9ac,DNase,RNA-seq,WGBS,RRBS,mCRF,,Input,H3K9me3,H3K27me3,H3K4me3,H3K4me1,H3K36me3,H3K27ac,H3K9ac,DNase,,Input,H3K9me3,H3K27me3,H3K4me3,H3K4me1,H3K36me3,H3K27ac,H3K9ac,DNase,,Input,H3K9me3,H3K27me3,H3K4me3,H3K4me1,H3K36me3,H3K27ac,H3K9ac,DNase,,H3K4me2,H2AK5ac,H2BK120ac,H2BK5ac,H3K18ac,H3K23ac,H3K4ac,H3K79me1,H4K8ac,H2BK12ac,H3K14ac,H4K91ac,H2A.Z,H2BK15ac,H3K79me2,H2BK20ac,H3K56ac,H4K20me1,H4K5ac,H3K23me2,H2AK9ac,H3K9me1,H3T11ph,H4K12ac
,,,,,,,,94,60,98,40,7,5,,,,,,,50,23,,47,,,,127,127,127,127,127,127,98,62,53,56,37,51,16,,127,127,127,127,127,127,98,62,53,,1.012633,1.035528,1.030716,1.507494,1.084975,1.036695,1.3088515,1.2081465,1.633475,,0.4490405,0.4018559,0.8615358,1.18459,1.12977,0.7584003,1.34311,1.3804895,1.017931,,24,7,7,7,7,7,7,7,7,6,6,6,23,5,21,3,3,19,3,2,1,4,2,1
Outlier DNA methylation data due (older platform),E017,1,IMR90,#E41A1C,LNG.IMR90,1,1,1,1,1,1,1,1,IMR90 fetal lung fibroblasts Cell Line,IMR90_Cell_Line,LUNG,CellLine,UCSD,CL,Female,NA,NA,SD,IMR90_r1;IMR90-04;IMR90-05;IMR90-06;IMR90-07,Class 1,,UCSD.IMR90.Input.SK-I3.filt.*;UCSD.IMR90.Input.IMR90-07-I1.filt.*;UCSD.IMR90.Input.SK-I2.filt.*;UCSD.IMR90.Input.IMR90-06-I1.filt.*;UCSD.IMR90.Input.AK106.filt.*;UCSD.IMR90.Input.SK-I1.filt.*;UCSD.IMR90.Input.IMR90-05-I1.filt.*;UCSD.IMR90.Input.LL-I2.filt.*;UCSD.IMR90.Input.LL-I1.filt.*,UCSD.IMR90.H3K9me3.SK06.filt.*;UCSD.IMR90.H3K9me3.LL224.filt.*;UCSD.IMR90.H3K9me3.YL104.filt.*,UCSD.IMR90.H3K27me3.SK05.filt.*;UCSD.IMR90.H3K27me3.LL223.filt.*,UCSD.IMR90.H3K4me3.LL221.filt.*;UCSD.IMR90.H3K4me3.SK03.filt.*,UCSD.IMR90.H3K4me1.LL222.filt.*;UCSD.IMR90.H3K4me1.SK04.filt.*;UCSD.IMR90.H3K4me1.SYL133.filt.*,UCSD.IMR90.H3K36me3.YL67.filt.*;UCSD.IMR90.H3K36me3.LL225.filt.*,UCSD.IMR90.H3K27ac.LL235.filt.*;UCSD.IMR90.H3K27ac.LL231.filt.*;UCSD.IMR90.H3K27ac.YL58.filt.*,UCSD.IMR90.H3K9ac.LL233.filt.*;UCSD.IMR90.H3K9ac.SK46.filt.*,UW.IMR90.ChromatinAccessibility.DS13229.filt.*;UW.IMR90.ChromatinAccessibility.DS11764.filt.*;UW.IMR90.ChromatinAccessibility.DS13219.filt.*;UW.IMR90.ChromatinAccessibility.DS11759.filt.*,,E017,,,,30000000,30000000,30000000,28065544,30000000,30000000,30000000,23399369,50000000,,1.03108,1.074719,1.061967,3.192476,1.261518,1.107083,1.944476,1.810492,1.850876,,0.7475458,0.6717179,1.884087,1.310055,1.676567,1.35523,1.56888,1.508148,1.005632,,UCSD.IMR90.H3K4me2.SK07.bed.gz;UCSD.IMR90.H3K4me2.LL232.bed.gz,UCSD.IMR90.H2AK5ac.YL60.bed.gz;UCSD.IMR90.H2AK5ac.YL20.bed.gz,UCSD.IMR90.H2BK120ac.YL06.bed.gz;UCSD.IMR90.H2BK120ac.SK15.bed.gz,UCSD.IMR90.H2BK5ac.YL281.bed.gz;UCSD.IMR90.H2BK5ac.SK10.bed.gz;UCSD.IMR90.H2BK5ac.LL229.bed.gz,UCSD.IMR90.H3K18ac.SK09.bed.gz;UCSD.IMR90.H3K18ac.LL230.bed.gz,UCSD.IMR90.H3K23ac.SK18.bed.gz;UCSD.IMR90.H3K23ac.YL09.bed.gz,UCSD.IMR90.H3K4ac.LL239.bed.gz;UCSD.IMR90.H3K4ac.SK16.bed.gz,UCSD.IMR90.H3K79me1.SK11.bed.gz;UCSD.IMR90.H3K79me1.YL145.bed.gz;UCSD.IMR90.H3K79me1.YL16.bed.gz;UCSD.IMR90.H3K79me1.YL103.bed.gz,UCSD.IMR90.H4K8ac.YL17.bed.gz;UCSD.IMR90.H4K8ac.YL142.bed.gz;UCSD.IMR90.H4K8ac.YL57.bed.gz;UCSD.IMR90.H4K8ac.SK45.bed.gz,UCSD.IMR90.H2BK12ac.YL68.bed.gz;UCSD.IMR90.H2BK12ac.YL138.bed.gz;UCSD.IMR90.H2BK12ac.YL18.bed.gz,UCSD.IMR90.H3K14ac.SK17.bed.gz;UCSD.IMR90.H3K14ac.YL15.bed.gz,UCSD.IMR90.H4K91ac.SK49.bed.gz;UCSD.IMR90.H4K91ac.YL08.bed.gz,UCSD.IMR90.H2A.Z.AY4.bed.gz;UCSD.IMR90.H2A.Z.AY5.bed.gz,UCSD.IMR90.H2BK15ac.YL19.bed.gz;UCSD.IMR90.H2BK15ac.YL69.bed.gz;UCSD.IMR90.H2BK15ac.SK42.bed.gz,UCSD.IMR90.H3K79me2.LL238.bed.gz;UCSD.IMR90.H3K79me2.SK43.bed.gz,UCSD.IMR90.H2BK20ac.YL07.bed.gz;UCSD.IMR90.H2BK20ac.SK14.bed.gz,UCSD.IMR90.H3K56ac.YL05.bed.gz;UCSD.IMR90.H3K56ac.YL61.bed.gz,UCSD.IMR90.H4K20me1.YL59.bed.gz;UCSD.IMR90.H4K20me1.YL21.bed.gz,UCSD.IMR90.H4K5ac.LL234.bed.gz;UCSD.IMR90.H4K5ac.SK08.bed.gz,,UCSD.IMR90.H2AK9ac.AY6.bed.gz;UCSD.IMR90.H2AK9ac.AY7.bed.gz,UCSD.IMR90.H3K9me1.SK12.bed.gz;UCSD.IMR90.H3K9me1.LL237.bed.gz,,
,E002,2,ESC,#924965,ESC.WA7,-1,-1,0,0,0,0,0,0,ES-WA7 Cells,ES-WA7_Cell_Line,ESC,PrimaryCulture,BI,CL,Female,NA,NA,SD,58;35206;35207;35208;35210;36544,Class 4,,BI.ES-WA7.Input.Lib_MC_20100211_05--ChIP_MC_20100208_05_WA07_WCE.filt.*,BI.ES-WA7.H3K9me3.Solexa-12613.filt.*,BI.ES-WA7.H3K27me3.Solexa-12609.filt.*,BI.ES-WA7.H3K4me3.Solexa-13062.filt.*,BI.ES-WA7.H3K4me1.Solexa-12611.filt.*,BI.ES-WA7.H3K36me3.Solexa-12610.filt.*,,BI.ES-WA7.H3K9ac.Lib_MC_20100818_06--ChIP_MC_20100816_01_WA07_H3K9Ac.filt.*,,,,E002,,,10943655,7322985,13246745,6147367,10108554,9533889,,29503477,,,1.176076,1.037905,1.093496,1.370005,1.165568,1.047472,,1.163441,,,2.990425,0.3841219,1.236339,1.579291,1.921605,1.762133,,1.449967,,,,,,,,,,,,,,,,,,,,,,,,,,
,E008,3,ESC,#924965,ESC.H9,1,1,1,1,1,0,1,1,H9 Cells,H9_Cell_Line,ESC,PrimaryCulture,UCSD,CL,Female,NA,NA,SD,H9-01;H9-02;H9-04,Class 1,,UCSD.H9.Input.SKH9-4.filt.*;UCSD.H9.Input.AK144.filt.*;UCSD.H9.Input.SK338.filt.*,UCSD.H9.H3K9me3.SK100.filt.*;UCSD.H9.H3K9me3.AK40.filt.*;UCSD.H9.H3K9me3.SK200.filt.*,UCSD.H9.H3K27me3.AK142.filt.*;UCSD.H9.H3K27me3.SK99.filt.*,UCSD.H9.H3K4me3.SK101.filt.*;UCSD.H9.H3K4me3.AK39.filt.*,UCSD.H9.H3K4me1.AK141.filt.*;UCSD.H9.H3K4me1.YL123.filt.*,UCSD.H9.H3K36me3.SK102.filt.*;UCSD.H9.H3K36me3.SK278.filt.*,UCSD.H9.H3K27ac.SK265.filt.*;UCSD.H9.H3K27ac.YL237.filt.*,UCSD.H9.H3K9ac.AK35.filt.*;UCSD.H9.H3K9ac.SK199.filt.*,UW.H9.ChromatinAccessibility.DS18522.filt.*;UW.H9.ChromatinAccessibility.DS18517.filt.*,,E008,E008,,,30000000,30000000,30000000,23380403,30000000,22676195,30000000,30000000,50000000,,1.015472,1.05269,1.044539,2.094959,1.053461,1.069512,1.085212,1.119764,1.150014,,0.4871047,0.3667573,0.8009209,1.284862,1.056783,0.8719653,1.09366,1.194623,1.02075,,UCSD.H9.H3K4me2.SK198.bed.gz;UCSD.H9.H3K4me2.AK38.bed.gz,UCSD.H9.H2AK5ac.SK193.bed.gz;UCSD.H9.H2AK5ac.AK28.bed.gz,UCSD.H9.H2BK120ac.SK378.bed.gz,UCSD.H9.H2BK5ac.YL244.bed.gz;UCSD.H9.H2BK5ac.AK29.bed.gz,UCSD.H9.H3K18ac.SK276.bed.gz;UCSD.H9.H3K18ac.SK375.bed.gz,UCSD.H9.H3K23ac.YL236.bed.gz;UCSD.H9.H3K23ac.SK289.bed.gz,UCSD.H9.H3K4ac.SK379.bed.gz;UCSD.H9.H3K4ac.SK328.bed.gz,UCSD.H9.H3K79me1.SK374.bed.gz;UCSD.H9.H3K79me1.SK329.bed.gz,UCSD.H9.H4K8ac.YL241.bed.gz;UCSD.H9.H4K8ac.SK283.bed.gz,UCSD.H9.H2BK12ac.AK30.bed.gz;UCSD.H9.H2BK12ac.AK112.bed.gz,UCSD.H9.H3K14ac.SK380.bed.gz;UCSD.H9.H3K14ac.AY15.bed.gz,UCSD.H9.H4K91ac.SK332.bed.gz;UCSD.H9.H4K91ac.SK287.bed.gz,UCSD.H9.H2A.Z.SK532.bed.gz,UCSD.H9.H2BK15ac.AY28.bed.gz;UCSD.H9.H2BK15ac.AK113.bed.gz;UCSD.H9.H2BK15ac.SK376.bed.gz,UCSD.H9.H3K79me2.AK143.bed.gz;UCSD.H9.H3K79me2.SK190.bed.gz,UCSD.H9.H2BK20ac.SK377.bed.gz,UCSD.H9.H3K56ac.SK279.bed.gz;UCSD.H9.H3K56ac.YL238.bed.gz,UCSD.H9.H4K20me1.SK286.bed.gz,UCSD.H9.H4K5ac.YL240.bed.gz;UCSD.H9.H4K5ac.SK282.bed.gz,UCSD.H9.H3K23me2.SK527.bed.gz;UCSD.H9.H3K23me2.SK277.bed.gz,,,UCSD.H9.H3T11ph.SK509.bed.gz,
Bad Methylation dataset. This epigenome is NOT to be used for DNA methylation analysis. All other data types are fine to use.,E001,4,ESC,#924965,ESC.I3,0,1,1,1,0,0,0,0,ES-I3 Cells,ES-I3_Cell_Line,ESC,PrimaryCulture,BI,CL,Female,NA,NA,SD,60;31436;35589;35592;35593;35594;40338;40339;40340;40585;40586;42133,Class 4,,BI.ES-I3.Input.Lib_MC_20090522_07--ChIP_MC_20090519_07_hES_I3_TESR_WCE.filt.*;BI.ES-I3.Input.Solexa-10219.filt.*,BI.ES-I3.H3K9me3.Solexa-15475.filt.*;BI.ES-I3.H3K9me3.Solexa-12683-16494.filt.*,BI.ES-I3.H3K27me3.Solexa-10213-15380.filt.*;BI.ES-I3.H3K27me3.Solexa-12678.filt.*,BI.ES-I3.H3K4me3.Solexa-15474.filt.*;BI.ES-I3.H3K4me3.Solexa-12681.filt.*,BI.ES-I3.H3K4me1.Solexa-15382.filt.*;BI.ES-I3.H3K4me1.Lib_MC_20100211_02--ChIP_MC_20100208_02_hES_I3_TESR_H3K4Me1.filt.*,BI.ES-I3.H3K36me3.Solexa-15381.filt.*;BI.ES-I3.H3K36me3.Solexa-16493.filt.*,,BI.ES-I3.H3K9ac.Solexa-12682.filt.*;BI.ES-I3.H3K9ac.Solexa-15383.filt.*,,,,,,,30000000,30000000,18992710,21464084,30000000,20540560,,23124747,,,1.019102,1.03983,1.10503,1.306581,1.084822,1.056173,,1.439855,,,1.008519,0.5621554,1.277916,1.324472,1.317322,1.159956,,1.407037,,,,,,,,,,,,,,,,,,,,,,,,,,
,E015,5,ESC,#924965,ESC.HUES6,1,1,1,1,1,0,0,0,HUES6 Cells,HUES6_Cell_Line,ESC,PrimaryCulture,BI,CL,Female,NA,NA,SD,199;207,Class 5,,BI.HUES6.Input.Lib_XZ_20101004_14--ChIP_XZ_20100930_14_ES_cell_HUES_6_WCE.filt.*;BI.HUES6.Input.Lib_XZ_20101004_07--ChIP_XZ_20100930_07_ES_cell_HUES_6_WCE.filt.*,BI.HUES6.H3K9me3.Lib_XZ_20101004_06--ChIP_XZ_20100930_06_ES_cell_HUES_6_H3K9Me3.filt.*;BI.HUES6.H3K9me3.Lib_XZ_20101004_13--ChIP_XZ_20100930_13_ES_cell_HUES_6_H3K9Me3.filt.*,BI.HUES6.H3K27me3.Lib_XZ_20101004_04--ChIP_XZ_20100930_04_ES_cell_HUES_6_H3K27Me3.filt.*;BI.HUES6.H3K27me3.Lib_XZ_20101004_11--ChIP_XZ_20100930_11_ES_cell_HUES_6_H3K27Me3.filt.*,BI.HUES6.H3K4me3.Lib_XZ_20101004_09--ChIP_XZ_20100930_09_ES_cell_HUES_6_H3K4Me3.filt.*;BI.HUES6.H3K4me3.Lib_XZ_20101004_02--ChIP_XZ_20100930_02_ES_cell_HUES_6_H3K4Me3.filt.*,BI.HUES6.H3K4me1.Lib_XZ_20101004_01--ChIP_XZ_20100930_01_ES_cell_HUES_6_H3K4Me1.filt.*;BI.HUES6.H3K4me1.Lib_XZ_20101004_08--ChIP_XZ_20100930_08_ES_cell_HUES_6_H3K4Me1.filt.*,BI.HUES6.H3K36me3.Lib_XZ_20101004_03--ChIP_XZ_20100930_03_ES_cell_HUES_6_H3K36Me3.filt.*;BI.HUES6.H3K36me3.Lib_XZ_20101004_10--ChIP_XZ_20100930_10_ES_cell_HUES_6_H3K36Me3.filt.*,BI.HUES6.H3K27ac.DNA_Lib_835.filt.*;BI.HUES6.H3K27ac.DNA_Lib_837.filt.*,BI.HUES6.H3K9ac.Lib_XZ_20101004_12--ChIP_XZ_20100930_12_ES_cell_HUES_6_H3K9Ac.filt.*,,,,E015,,,30000000,30000000,30000000,30000000,30000000,30000000,30000000,23540772,,,1.013392,1.060667,1.121754,1.828946,1.091061,1.045846,1.063357,1.561758,,,0.4686526,0.3653351,1.199467,1.304042,1.180163,0.744926,1.267703,1.482529,,,,,,,,,,,,,,,,,,,,,,,,,,
,E014,6,ESC,#924965,ESC.HUES48,1,1,1,1,1,1,0,0,HUES48 Cells,HUES48_Cell_Line,ESC,PrimaryCulture,BI,CL,Female,NA,NA,SD,197;201;BioSam_824,Class 5,,BI.HUES48.Input.Lib_EpiLabSPL_Row_1725.filt.*;BI.HUES48.Input.Lib_EpiLabSPL_Row_1710.filt.*,BI.HUES48.H3K9me3.Lib_EpiLabSPL_Row_1718.filt.*;BI.HUES48.H3K9me3.Lib_EpiLabSPL_Row_1707.filt.*,BI.HUES48.H3K27me3.Lib_EpiLabSPL_Row_1716.filt.*;BI.HUES48.H3K27me3.Lib_MC_20101025_10--ChIP_MC_20101020_10_ES_cell_HUES_48_H3K27Me3.filt.*,BI.HUES48.H3K4me3.Lib_MC_20101025_08--ChIP_MC_20101020_08_ES_cell_HUES_48_H3K4Me3.filt.*;BI.HUES48.H3K4me3.Lib_EpiLabSPL_Row_1714.filt.*,BI.HUES48.H3K4me1.Lib_EpiLabSPL_Row_1713.filt.*;BI.HUES48.H3K4me1.Lib_MC_20101025_07--ChIP_MC_20101020_07_ES_cell_HUES_48_H3K4Me1.filt.*,BI.HUES48.H3K36me3.Lib_MC_20101025_09--ChIP_MC_20101020_09_ES_cell_HUES_48_H3K36Me3.filt.*;BI.HUES48.H3K36me3.Lib_EpiLabSPL_Row_1715.filt.*,BI.HUES48.H3K27ac.DNA_Lib_2068.filt.*,BI.HUES48.H3K9ac.Lib_EpiLabSPL_Row_1717.filt.*;BI.HUES48.H3K9ac.Lib_MC_20101025_11--ChIP_MC_20101020_11_ES_cell_HUES_48_H3K9Ac.filt.*,,,,E014,,,30000000,30000000,30000000,30000000,30000000,30000000,18731798,30000000,,,1.008748,1.03742,1.082706,1.615021,1.072706,1.032388,1.680183,1.115558,,,0.3546921,0.2309522,1.000666,1.324561,1.197682,0.6655423,1.458499,1.594022,,,,,,,,,,,,,,,,,,,,,,,,,,
,E016,7,ESC,#924965,ESC.HUES64,1,1,1,1,1,1,0,0,HUES64 Cells,HUES64_Cell_Line,ESC,PrimaryCulture,BI,CL,Male,NA,NA,SD,196;202;BioSam_825,Class 2,,BI.HUES64.Input.Lib_EpiLabSPL_Row_1709.filt.*;BI.HUES64.Input.Lib_EpiLabSPL_Row_1726.filt.*,BI.HUES64.H3K9me3.Lib_EpiLabSPL_Row_1724.filt.*;BI.HUES64.H3K9me3.Lib_MC_20101025_06--ChIP_MC_20101020_06_ES_cell_HUES_64_H3K9Me3.filt.*,BI.HUES64.H3K27me3.Lib_MC_20101025_04--ChIP_MC_20101020_04_ES_cell_HUES_64_H3K27Me3.filt.*;BI.HUES64.H3K27me3.Lib_EpiLabSPL_Row_1722.filt.*,BI.HUES64.H3K4me3.Lib_MC_20101025_02--ChIP_MC_20101020_02_ES_cell_HUES_64_H3K4Me3.filt.*;BI.HUES64.H3K4me3.Lib_EpiLabSPL_Row_1720.filt.*,BI.HUES64.H3K4me1.Lib_MC_20101025_01--ChIP_MC_20101020_01_ES_cell_HUES_64_H3K4Me1.filt.*;BI.HUES64.H3K4me1.Lib_EpiLabSPL_Row_1719.filt.*,BI.HUES64.H3K36me3.Lib_MC_20101025_03--ChIP_MC_20101020_03_ES_cell_HUES_64_H3K36Me3.filt.*;BI.HUES64.H3K36me3.Lib_EpiLabSPL_Row_1721.filt.*,BI.HUES64.H3K27ac.DNA_Lib_834.filt.*;BI.HUES64.H3K27ac.DNA_Lib_2069.filt.*,BI.HUES64.H3K9ac.Lib_EpiLabSPL_Row_1723.filt.*;BI.HUES64.H3K9ac.Lib_MC_20101025_05--ChIP_MC_20101020_05_ES_cell_HUES_64_H3K9Ac.filt.*,,BI.HUES64.mRNA-Seq.cDNA_Lib_18,E016,,,,30000000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,,,1.011782,1.043049,1.104464,2.020673,1.07301,1.03975,1.203307,1.214554,,,0.4777247,0.2278852,1.089582,1.322739,1.201888,0.6976343,1.42505,1.555007,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlier DNA methylation dataset (older platform),E003,8,ESC,#924965,ESC.H1,1,1,1,1,1,1,1,1,H1 Cells,H1_Cell_Line,ESC,PrimaryCulture,BI;UCSD;UCSF-UBC,CL,Male,NA,NA,SD,56;68;69;27276;27277;35081;35082;35083;CDI-01;H1-07;H1-09;H1-10;H1-12;H1-13;hESC-01;HS0995;HS0998-1;HS1032-1;HS1345-1;HS1346-1;HS1347-1,Class 1,,UCSD.H1.Input.YL328.filt.*;UCSD.H1.Input.DM219.filt.*;UCSD.H1.Input.LL-H1-I2.filt.*;UCSF-UBC.H1.Input.TOTAL-hEScd2-2.filt.*;UCSF-UBC.H1.Input.TOTAL-H1EScd1.filt.*;BI.H1.Input.Solexa-10531.filt.*;BI.H1.Input.Solexa-12532.filt.*;UCSD.H1.Input.LLH1U.filt.*;UCSD.H1.Input.LL-H1-I1.filt.*;UCSD.H1.Input.AK57.filt.*;UCSD.H1.Input.YL154.filt.*;UCSD.H1.Input.YL262.filt.*;UCSD.H1.Input.YL208.filt.*,UCSD.H1.H3K9me3.LL218.filt.*;BI.H1.H3K9me3.Solexa-12525.filt.*;UCSD.H1.H3K9me3.AK54.filt.*;UCSD.H1.H3K9me3.YL75.filt.*;UCSD.H1.H3K9me3.YL77.filt.*;UCSF-UBC.H1.H3K9me3.H1EScd1-me3K9-A.filt.*;UCSF-UBC.H1.H3K9me3.H1EScd2-me3K9-B.filt.*,BI.H1.H3K27me3.Solexa-8039.filt.*;UCSF-UBC.H1.H3K27me3.H1EScd1-me3K27-A.filt.*;UCSD.H1.H3K27me3.LL314.filt.*;UCSD.H1.H3K27me3.YL95.filt.*;UCSD.H1.H3K27me3.LL241.filt.*;BI.H1.H3K27me3.Solexa-12523.filt.*,UCSF-UBC.H1.H3K4me3.H1EScd1-me3K4-A.filt.*;UCSD.H1.H3K4me3.LL312.filt.*;BI.H1.H3K4me3.Solexa-12522.filt.*;UCSF-UBC.H1.H3K4me3.H1EScd2-me3K4-C.filt.*;UCSD.H1.H3K4me3.SAK67.filt.*;UCSD.H1.H3K4me3.LL227.filt.*;BI.H1.H3K4me3.Solexa-8038.filt.*;BI.H1.H3K4me3.Solexa-10398.filt.*,BI.H1.H3K4me1.Solexa-10529.filt.*;UCSF-UBC.H1.H3K4me1.H1EScd1-me1K4-D.filt.*;UCSD.H1.H3K4me1.LL228.filt.*;UCSD.H1.H3K4me1.LL311.filt.*;UCSD.H1.H3K4me1.YL131.filt.*;BI.H1.H3K4me1.Solexa-13061.filt.*,UCSF-UBC.H1.H3K36me3.H1EScd2-me3K36-B.filt.*;UCSD.H1.H3K36me3.SAK70.filt.*;UCSF-UBC.H1.H3K36me3.H1EScd1-me3K36-A.filt.*;UCSD.H1.H3K36me3.LL220.filt.*;BI.H1.H3K36me3.Solexa-14961.filt.*;BI.H1.H3K36me3.Solexa-12524.filt.*;UCSD.H1.H3K36me3.LL160.filt.*,UCSD.H1.H3K27ac.LL313.filt.*;UCSD.H1.H3K27ac.SAK270.filt.*,BI.H1.H3K9ac.Solexa-14962.filt.*;UCSF-UBC.H1.H3K9ac.H1EScd1-acK9-A.filt.*;UCSD.H1.H3K9ac.LL240.filt.*;UCSD.H1.H3K9ac.SAK68.filt.*;BI.H1.H3K9ac.Solexa-12526.filt.*,UW.H1.ChromatinAccessibility.DS19100.filt.*;UW.H1.ChromatinAccessibility.DS18873.filt.*,E003,E003,E003,E003,,30000000,30000000,30000000,30000000,30000000,30000000,21502554,30000000,50000000,,1.02856,1.06007,1.173154,2.216037,1.071794,1.047651,1.221092,1.167936,1.346026,,1.045886,0.4608144,1.272458,1.205567,1.096061,0.8214159,1.52665,1.25801,1.023913,,UCSD.H1.H3K4me2.LL322.bed.gz;UCSD.H1.H3K4me2.YL96.bed.gz,UCSD.H1.H2AK5ac.SAK201.bed.gz;UCSD.H1.H2AK5ac.YL97.bed.gz,UCSD.H1.H2BK120ac.SAK206.bed.gz;UCSD.H1.H2BK120ac.SK530.bed.gz;UCSD.H1.H2BK120ac.AK146.bed.gz,UCSD.H1.H2BK5ac.YL98.bed.gz;UCSD.H1.H2BK5ac.SAK202.bed.gz,UCSD.H1.H3K18ac.LL321.bed.gz;UCSD.H1.H3K18ac.SAK208.bed.gz,UCSD.H1.H3K23ac.AK59.bed.gz;UCSD.H1.H3K23ac.AK53.bed.gz,UCSD.H1.H3K4ac.AK51.bed.gz;UCSD.H1.H3K4ac.SAK207.bed.gz,UCSD.H1.H3K79me1.YL192.bed.gz;UCSD.H1.H3K79me1.YL82.bed.gz;UCSD.H1.H3K79me1.SAK73.bed.gz,UCSD.H1.H4K8ac.AY18.bed.gz;UCSD.H1.H4K8ac.AY17.bed.gz,UCSD.H1.H2BK12ac.YL93.bed.gz;UCSD.H1.H2BK12ac.SAK203.bed.gz,UCSD.H1.H3K14ac.AK58.bed.gz;UCSD.H1.H3K14ac.AK52.bed.gz,UCSD.H1.H4K91ac.SK303.bed.gz;UCSD.H1.H4K91ac.YL254.bed.gz,UCSD.H1.H2A.Z.AY1.bed.gz,UCSD.H1.H2BK15ac.YL206.bed.gz;UCSD.H1.H2BK15ac.SAK204.bed.gz,UCSD.H1.H3K79me2.SAK80.bed.gz;UCSD.H1.H3K79me2.YL204.bed.gz,UCSD.H1.H2BK20ac.YL207.bed.gz;UCSD.H1.H2BK20ac.SAK205.bed.gz,UCSD.H1.H3K56ac.SAK211.bed.gz;UCSD.H1.H3K56ac.SK300.bed.gz,UCSD.H1.H4K20me1.YL253.bed.gz;UCSD.H1.H4K20me1.SK529.bed.gz,UCSD.H1.H4K5ac.LL323.bed.gz;UCSD.H1.H4K5ac.SK302.bed.gz,UCSD.H1.H3K23me2.SAK210.bed.gz;UCSD.H1.H3K23me2.YL198.bed.gz,,,,
