state_presented_in_paper	state_presented_in_bedFile	long_annotations	group	color	notes_about_enr_with_repeats	notes_about_enr_with_perCT_annot
GapArtf1	1_GapArtf1	No signal; unmappable - assembly gaps	others	#fff5ee		25_Quies in all cell types
GapArtf2	2_GapArtf2	satellite repeats/artifacts;H3K9me3, DNase I, and some signal from many others	others	#fff5ee	>100 folds enriched with Satelite family, Satelite class and centr family, acro_family, 40 - 80 folds rRNA and telo family	21_HET in most cell types, Prom_P or ZNF in ESC and iPSC
GapArtf3	3_GapArtf3	rRNA, satellite repeats; artifacts; High signal most experiments; satellite repeats	others	#fff5ee	~100-200 folds enriched with Satelite family, Satelite class and centr family, acro_family, 500 - 600 folds rRNA and telo family	Same as GapArtf2, but some cell types have PromP
Quies1	4_Quies1	quescient; H3K9me3 very weak; broad domain; Cell lines;  ENCODE2012, Epithelial, IMR90, Myostat	quescient	white		25_Quies in all cell types
Quies2	5_Quies2	quescient; H3K9me3 weak inIMR90, Epithelial, ENCODE2012, Myostat	quescient	white	2-3 folds ERVL and LTR_family	25_Quies in all cell types
Quies3	6_Quies3	quescient (very low non-specific signal)	quescient	white		25_Quies in all cell types
Quies4	7_Quies4	H3K9me3 very weak; LINE repeats; 25_ques in most ct. 21_Het in ESC-related	quescient	white		25_Quies in most cell types, HET in some ESC, iPSC, ES-deriv cells
Quies5	8_Quies5	quescient (H3K9me3/H3K27me3 very weak), chrX associated	quescient	white		25_Quies in most cell types, 24_ReprPC in some ESC and iPSC cell types
HET1	9_HET1	H3K9me3. Het in epithelial, IMR90, adipose, HSC&B-cell, thymus. LTR repeats Mix of Het and quescient in other. 	HET	light puple	higest enrichment, across states, with ERVIL_family	Mix of 25_Quies and HET  in most cell types, HET in Epithelial, 19_DNase in ESC and iPSC
HET2	10_HET2	H3K9me3+H3K27me3; Quescient: Mesench, blood & T-cell, Brain. PolyRep in Sm.Muscle, muscle. Het in Epithelial, IMR90, Myostat	HET	light puple		HET in Epithelial, Myostat, IMR90. Mixed of Quies, Het and ReprPC in others
HET3	11_HET3	H3K9me3 weak; LINE repeats	HET	light puple	Highest enrichment across states TcMar-Mariner_family (~2),  LINE_class (3.3), L1_family and LINE_class (3-4)	HET in most cell types , 25_Quies in few cell types mostly in Epithelial
